driver_id,avg_price_per_meter_fly,avg_price_per_meter_road,max_avg_price
8211442,0.9052735613522004,0.8453722779039748,0.9052735613522004
8213782,0.1561253926838519,0.12509174345290852,0.1561253926838519
8217436,0.15012519988783268,0.15012519988783268,0.15012519988783268
8221595,0.2363011014040854,0.2363011014040854,0.2363011014040854
8228780,0.22532375923300538,0.21976998330598493,0.22532375923300538
8231169,0.7421724998811363,0.867950433304714,0.867950433304714
8231233,0.2746996982420794,0.2690263165661931,0.2746996982420794
8238857,0.2341518303275301,0.2341518303275301,0.2341518303275301
8252671,0.3284191331938181,0.3284191331938181,0.3284191331938181
8259131,1.7888607760814146,1.7713553056894207,1.7888607760814146
8268271,0.41779907921467935,0.39396351254695855,0.41779907921467935
8271323,0.3029654824225812,0.29137956587949126,0.3029654824225812
8276674,0.6952757885723578,0.6808386681684859,0.6952757885723578
8278149,0.4353536794512239,0.6635667234137806,0.6635667234137806
8291831,0.39241253838194,0.38058108959267445,0.39241253838194
8301131,0.2786383404287855,0.27247688284404664,0.2786383404287855
8301634,0.3190158494743811,0.2905083745565832,0.3190158494743811
8307478,0.3514440339811634,0.33609055983707636,0.3514440339811634
8313173,0.45491541219916387,0.6110571056913946,0.6110571056913946
8314318,0.46142620620399266,0.4485097511901248,0.46142620620399266
8321517,0.6259499887929194,0.8051446844974576,0.8051446844974576
8322221,1.1950841680827677,1.1521677571404139,1.1950841680827677
8341908,0.5992201536094716,0.5817366247950698,0.5992201536094716
8356220,0.26750862656946317,0.25385750704422727,0.26750862656946317
8360206,1.9462816087482577,1.8756005876482433,1.9462816087482577
8364721,0.4090454777332432,0.5900833681007415,0.5900833681007415
8365668,0.275841559902388,0.2727241913755275,0.275841559902388
8374906,0.35668099140926224,0.3470889343705621,0.35668099140926224
8378328,0.984929260470558,0.6944892108672148,0.984929260470558
8382569,1.0350812093378197,0.7781301788091163,1.0350812093378197
8383853,0.2757478011603437,0.26501078665912353,0.2757478011603437
8390469,0.2849485120713619,0.27462919104317346,0.2849485120713619
8398159,0.1895117980371849,0.18276284872006066,0.1895117980371849
8401982,0.7410715409837905,0.6336981421783758,0.7410715409837905
8405313,0.11426984826336994,29.951537394323275,29.951537394323275
