driver_id,order_id,distance_fly,distance_road,from_lat,from_lon,to_lat,to_lon
8211442,7828438898,1183.6765393937537,1183.6765393937537,60.94315719604492,76.58018493652344,60.93999481201172,76.60111236572266
8217436,7828264665,2615.1211849246856,2615.1211849246856,60.93955612182617,76.56135559082031,60.92868041992188,76.60427856445312
8217436,7828706552,2855.794143624609,2855.794143624609,60.92868041992188,76.60427856445312,60.942527770996094,76.55975341796875
8221595,7828553623,2142.972193214242,2142.972193214242,60.933841705322266,76.57743072509766,60.93709945678711,76.61653137207031
8221595,7828564626,1885.891900100569,1885.891900100569,60.93709945678711,76.61653137207031,60.94723892211914,76.58853912353516
8228780,7828262118,1248.808090513085,2161.0557970987784,60.952423095703125,76.60993194580078,60.94625854492188,76.5905990600586
8228780,7828266750,1415.1190241159848,2488.1634983966082,60.94625854492188,76.5905990600586,60.9368782043457,76.60830688476562
8231169,7828122830,2647.0604069178635,2647.0604069178635,60.94199752807617,76.60301971435547,60.91872787475586,76.61335754394531
8231233,7828465849,1060.6952944825046,1060.6952944825046,60.892799377441406,76.66988372802734,60.89651870727539,76.65182495117188
8238857,7828287607,2338.6660674767586,2338.6660674767586,60.93952178955078,76.56791687011719,60.946903228759766,76.60846710205078
8252671,7828499250,2367.9420183107727,2367.9420183107727,60.94059753417969,76.56912231445312,60.94145965576172,76.61293029785156
8268271,7828315067,866.1983779499503,866.1983779499503,60.94126510620117,76.57843017578125,60.94258117675781,76.59423828125
8271323,7828621908,656.8974349951916,656.8974349951916,60.93830108642578,76.5450668334961,60.93851852416992,76.55722045898438
8276674,7828634339,2877.103663901768,2877.103663901768,60.93889236450195,76.61714172363281,60.94492721557617,76.56533813476562
8278149,7828569550,726.0661693545551,726.0661693545551,60.94423294067383,76.59133911132812,60.9409294128418,76.57974243164062
8291831,7828616340,1215.9191292978899,1215.9191292978899,60.895973205566406,76.66763305664062,60.90092849731445,76.64759063720703
8301634,7828276199,2448.0136083000025,2448.0136083000025,60.9377555847168,76.56104278564453,60.92707061767578,76.60066223144531
8307478,7828415062,1234.0186987546344,1234.0186987546344,60.931907653808594,76.6092300415039,60.92247009277344,76.59721374511719
8313173,7828260106,2349.9097251569947,2349.9097251569947,60.933135986328125,76.57826232910156,60.95330047607422,76.5912857055664
8314318,7828528132,2437.2142637019515,4150.514111549515,60.92341232299805,76.59730529785156,60.945289611816406,76.59454345703125
8321517,7828629003,2088.717379301589,2088.717379301589,60.94506072998047,76.57024383544922,60.92824172973633,76.58746337890625
8341908,7828660825,942.1285033271687,942.1285033271687,60.95480346679688,76.57658386230469,60.95159530639648,76.59273529052734
8356220,7828572231,1919.9919605825348,1919.9919605825348,60.927860260009766,76.61905670166016,60.94022750854492,76.59425354003906
8364721,7828515489,217.70302128776677,217.70302128776677,60.94218826293945,76.5655746459961,60.94050979614258,76.5634994506836
8365668,7828547423,1335.8522299241793,1335.8522299241793,60.937984466552734,76.55681610107422,60.93650817871094,76.58135986328125
8374906,7828661771,1902.1923011960819,1902.1923011960819,60.94532012939453,76.60911560058594,60.92832946777344,76.61321258544922
8378328,7828603846,954.498146487004,954.498146487004,60.934024810791016,76.56262969970703,60.93716049194336,76.5790786743164
8383853,7828433988,1257.8498898424634,1257.8498898424634,60.9455451965332,76.53982543945312,60.93669128417969,76.5543212890625
8390469,7828678537,829.7976734409497,829.7976734409497,60.93639373779297,76.60694122314453,60.92928314208984,76.60227966308594
8398159,7828390567,1927.4461579664758,1927.4461579664758,60.93356704711914,76.59696960449219,60.93156051635742,76.63240814208984
8398159,7828474370,3098.227894770597,3098.227894770597,60.93156051635742,76.63240814208984,60.95262145996094,76.5948486328125
8401982,7828702289,2091.1061965914164,2981.506261009729,60.945098876953125,76.58292388916016,60.93833160400391,76.61904907226562
8407266,7828325186,1098.892681552991,1098.892681552991,60.93132019042969,76.5953369140625,60.93833923339844,76.60965728759766
8409926,7828619108,1285.270994371223,1285.270994371223,60.94314956665039,76.56405639648438,60.932247161865234,76.57196044921875
8412341,7828280999,2703.7681125853455,2703.7681125853455,60.94518280029297,76.54999542236328,60.95336151123047,76.59715270996094
46639810,7828588107,609.5207780086643,609.5207780086643,60.942909240722656,76.595947265625,60.94131088256836,76.58515167236328
46767152,7828292650,1297.3038175747793,1297.3038175747793,60.937801361083984,76.61161804199219,60.94329833984375,76.5904312133789
46767152,7828470983,2728.6243767797932,2728.6243767797932,60.94329833984375,76.5904312133789,60.92673873901367,76.6277084350586
46799883,7828294822,1928.0860025159313,1928.0860025159313,60.92829132080078,76.60607147216797,60.94536590576172,76.61228942871094
46903650,7828611529,1587.711145619609,1587.711145619609,60.92862319946289,76.58238983154297,60.92610168457031,76.61131286621094
46939941,7828124795,2403.483542882711,2403.483542882711,60.96073532104492,76.534423828125,60.9399299621582,76.54649353027344
46976693,7828351705,2277.958824219091,2277.958824219091,60.92537307739258,76.6103286743164,60.94502639770508,76.59842681884766
47011257,7828413446,746.2267404730027,746.2267404730027,60.931785583496094,76.56999206542969,60.930999755859375,76.58370971679688
47011257,7828692021,1051.3011814650374,1051.3011814650374,60.930999755859375,76.58370971679688,60.93291091918945,76.60276794433594
47084536,7828557993,6104.94638396428,8654.948031060616,60.95660781860352,76.52238464355469,60.92906188964844,76.62017059326172
47084536,7828699146,3380.5625223359407,3380.5625223359407,60.92906188964844,76.62017059326172,60.9392204284668,76.56118774414062
47137587,7828566972,2973.683872490156,2973.683872490156,60.95014953613281,76.56277465820312,60.937801361083984,76.61161804199219
47139680,7828389936,328.99043538539235,328.99043538539235,60.89337158203125,76.67351531982422,60.89413833618164,76.66764068603516
47139680,7828687048,9430.902329514249,9430.902329514249,60.89413833618164,76.66764068603516,60.91196060180664,76.49712371826172
47144607,7828618563,1251.7208785017979,1251.7208785017979,60.93077087402344,76.55025482177734,60.94145202636719,76.55757141113281
47144607,7828619917,296.21554801258947,296.21554801258947,60.94145202636719,76.55757141113281,60.93980026245117,76.55326843261719
47221750,7828279919,73.3829177708593,73.3829177708593,60.9267807006836,76.62635803222656,60.926788330078125,76.625
47250241,7828578312,250.38054736210896,250.38054736210896,60.940162658691406,76.55370330810547,60.938621520996094,76.55708312988281
47279152,7828317205,2225.9870217170173,4536.6084475076095,60.93374252319336,76.63363647460938,60.916839599609375,76.61156463623047
47281160,7828534207,1624.285251800333,1624.285251800333,60.9584846496582,76.56272888183594,60.94546127319336,76.54910278320312
47300686,7828254005,2194.022830219316,4241.675274206287,60.91300964355469,76.61832427978516,60.9327392578125,76.61779022216797
47300686,7828649148,3606.6301718947357,3606.6301718947357,60.9327392578125,76.61779022216797,60.9361686706543,76.55139923095703
47405920,7828593592,2116.523720119572,2740.19730103592,60.93975830078125,76.58448028564453,60.94422912597656,76.54638671875
47428578,7828702470,1295.5008504606365,1295.5008504606365,60.94506072998047,76.53335571289062,60.951419830322266,76.55345916748047
47435660,7828190292,2411.2860789881966,3528.4732369503627,60.93915557861328,76.58853912353516,60.93144989013672,76.63026428222656
47435660,7828396621,660.5735984770481,660.5735984770481,60.93144989013672,76.63026428222656,60.93613052368164,76.62273406982422
47505313,7828322575,181.18865787580555,181.18865787580555,60.932708740234375,76.58598327636719,60.931400299072266,76.58798217773438
47505313,7828558576,2156.068792096029,2156.068792096029,60.931400299072266,76.58798217773438,60.94190216064453,76.55442810058594
47515588,7828343925,4579.33771322523,4579.33771322523,60.93960189819336,76.55242919921875,60.962039947509766,76.62355041503906
47515588,7828568950,5892.182903061813,5892.182903061813,60.962039947509766,76.62355041503906,60.9352912902832,76.52935028076172
