driver_id,order_id,start_price,ride_price,order_type_group,rating,fromlatitude,fromlongitude,tolatitude,tolongitude
92790769,7792331377,550.0,600.0,city,5.0,60.931976318359375,76.61830139160156,60.93095397949219,76.54682159423828
47428578,7776388511,550.0,550.0,city,5.0,60.94560241699219,76.61225128173828,60.93202590942383,76.61798858642578
302459136,7776843091,550.0,550.0,city,4.880000114440918,60.93125534057617,76.57064819335938,60.93294143676758,76.61641693115234
8313173,7824453873,550.0,600.0,city,4.880000114440918,60.956058502197266,76.5802230834961,60.93307113647461,76.61628723144531
8322221,7807010753,600.0,600.0,city,4.960000038146973,60.92824172973633,76.60466003417969,60.937591552734375,76.5758285522461
302428605,7795047663,600.0,670.0,city,4.989999771118164,60.9534797668457,76.51245880126953,60.95246124267578,76.58690643310547
47139680,7803465374,600.0,600.0,city,4.980000019073486,60.926021575927734,76.5857925415039,60.93275833129883,76.55819702148438
8322221,7806434100,800.0,800.0,city,4.96999979019165,60.918701171875,76.60112762451172,60.89229965209961,76.48259735107422
91680460,7814609187,550.0,600.0,city,4.949999809265137,60.94266891479492,76.56626892089844,60.93772888183594,76.5525894165039
302440827,7817392672,550.0,600.0,city,4.949999809265137,60.93013000488281,76.55943298339844,60.94266128540039,76.56620025634766
47279152,7811382852,600.0,600.0,city,4.96999979019165,60.93870162963867,76.59920501708984,60.929100036621094,76.6009521484375
93675293,7774017375,650.0,650.0,city,4.820000171661377,60.95058822631836,76.56513214111328,60.928070068359375,76.6294174194336
8321517,7793041612,600.0,650.0,city,4.909999847412109,60.931488037109375,76.60018157958984,60.937042236328125,76.55790710449219
302459136,7777159769,800.0,800.0,city,4.909999847412109,60.94505310058594,76.56126403808594,60.94505310058594,76.56126403808594
8378328,7777200819,700.0,700.0,city,4.909999847412109,60.92931365966797,76.60001373291016,60.929359436035156,76.60009765625
8364721,7787997012,600.0,600.0,city,4.809999942779541,60.93859100341797,76.55712890625,60.94868850708008,76.59549713134766
46903650,7801719256,570.0,570.0,city,4.96999979019165,60.93553161621094,76.60968780517578,60.92753982543945,76.59993743896484
91722939,7778900337,600.0,600.0,city,5.0,60.92586898803711,76.58737182617188,60.9252815246582,76.60899353027344
47139680,7801349317,520.0,600.0,city,5.0,60.953208923339844,76.5858383178711,60.959129333496094,76.56871795654297
8291831,7814242407,550.0,600.0,city,4.960000038146973,60.937591552734375,76.59809112548828,60.93632125854492,76.62155151367188
91680460,7780891271,580.0,600.0,city,4.960000038146973,60.932071685791016,76.57568359375,60.9252815246582,76.60899353027344
93675293,7803931135,600.0,600.0,city,4.960000038146973,60.92564010620117,76.60894012451172,60.932559967041016,76.57605743408203
46903650,7797314740,580.0,600.0,city,4.960000038146973,60.92549133300781,76.60907745361328,60.932559967041016,76.57605743408203
47250241,7792026630,600.0,600.0,city,4.940000057220459,60.92327880859375,76.60230255126953,60.93148422241211,76.5705337524414
302445757,7776775619,550.0,550.0,city,4.940000057220459,60.92327880859375,76.60230255126953,60.9431266784668,76.60615539550781
302412091,7796921006,580.0,580.0,city,4.980000019073486,60.92757034301758,76.59774780273438,60.9304313659668,76.631103515625
8321517,7813312641,700.0,700.0,city,4.980000019073486,60.9194221496582,76.6072998046875,60.92985153198242,76.61283874511719
93675293,7795477185,600.0,650.0,city,4.940000057220459,60.95132064819336,76.58954620361328,60.94038009643555,76.5566635131836
8374906,7777913412,600.0,630.0,city,4.96999979019165,60.938106536865234,76.61882781982422,60.94556427001953,76.56371307373047
92283055,7808296637,600.0,650.0,city,4.940000057220459,60.9556884765625,76.57836151123047,60.93431091308594,76.59774017333984
8378328,7795583014,600.0,600.0,city,4.940000057220459,60.9556884765625,76.57836151123047,60.94451141357422,76.55760192871094
93675293,7780072243,600.0,600.0,city,4.989999771118164,60.955718994140625,76.57811737060547,60.93960952758789,76.59735870361328
46903650,7791082645,570.0,580.0,city,4.900000095367432,60.930721282958984,76.59168243408203,60.92728042602539,76.62294006347656
47139680,7781633394,580.0,650.0,city,5.0,60.91864013671875,76.60128021240234,60.893218994140625,76.67153930664062
8231169,7777642838,600.0,600.0,city,5.0,60.93996047973633,76.5457992553711,60.93410873413086,76.62290954589844
8364721,7780467671,580.0,650.0,city,5.0,60.89142990112305,76.65702819824219,60.937129974365234,76.58596801757812
8364721,7803135972,550.0,600.0,city,4.96999979019165,60.94194412231445,76.6069107055664,60.94512176513672,76.57171630859375
47250241,7803147424,600.0,600.0,city,4.96999979019165,60.94512176513672,76.57171630859375,60.938621520996094,76.58972930908203
8374906,7803448946,550.0,600.0,city,4.75,60.93142318725586,76.6277084350586,60.931297302246094,76.62742614746094
8364721,7825367326,700.0,700.0,city,4.849999904632568,60.93463134765625,76.59896087646484,60.94858169555664,76.567138671875
47221750,7802515589,550.0,600.0,city,4.849999904632568,60.94818878173828,76.56777954101562,60.95219039916992,76.58921813964844
8211442,7775132890,600.0,600.0,city,4.849999904632568,60.954498291015625,76.56407928466797,60.934749603271484,76.59966278076172
8321517,7814441896,580.0,650.0,city,4.849999904632568,60.944549560546875,76.59957885742188,60.934749603271484,76.59966278076172
302412091,7804800922,600.0,600.0,city,5.0,60.95526123046875,76.57623291015625,60.92918014526367,76.60347747802734
91680460,7777090286,600.0,600.0,city,5.0,60.932472229003906,76.55851745605469,60.92918014526367,76.60347747802734
47137587,7773922940,550.0,600.0,city,5.0,60.93701934814453,76.61418151855469,60.94031524658203,76.5372314453125
8307478,7771600646,600.0,600.0,city,5.0,60.955169677734375,76.58611297607422,60.94599151611328,76.55864715576172
